Hydropower,Solar,Wind,Other
0.117,0.603,0.01,0
41.64945459,0.108128528,1.412699784,2.29693941
17.26791,12.081099,16.266484,3.539346
37.52781287,1.578641473,5.900014713,4.763252129
1.76795,0.03926,0.0822,0.0811
0.885632595,0.299208359,0.005086066,0.008019927
0.45726487,0.134485968,0.117978175,0.109149431
0.284810423,3.971724224,7.468573702,5.427544126
387.6868063,3.137078404,48.47990705,52.88998503
5.125584584,1.103538835,1.378292235,0.496261903
244.839096,0.881300118,0.977082975,0.679177831
387.2508762,3.5462509,32.17005152,9.588635536
23.14438369,5.118720829,3.688710149,6.737367486
1202.43,177.5,366,90.72346175
56.64701407,0.011999821,0.043437355,2.088838157
7.512550207,0.073591668,1.379085419,0.682716361
0,0.19183,0.22061,0.05136
1.6272,2.3386,0.6093,4.7285
0.016454789,0.952973,13.89880328,6.119796142
20.69612073,0.037991538,0.080257771,0.427967651
13.48338,1.035739071,2.438966811,0
0.015617162,0.012679515,0.633888557,1.369850244
38.93203591,0.441810565,0.531134615,0.23331662
13.27777778,0.1622,5.857,12.86168421
64.2234218,10.15871272,28.16738103,8.521197318
16.9,46.164,111.59,51.437
5.720179713,3.791092002,6.300269103,0.298303335
0,0.000961,0.000825,0.100724044
0.221,0.588876056,0.608,2.371182482
13.81099543,0,0.004365699,6.009414916
139.6678322,30.73240318,60.31116,30.45869682
16.4112,0.01836,0.198,14.5368
10.77,0.037698887,0.361973742,0.021740437
3.1074588,0.057143443,0,0
0.694087982,0.022173967,8.390989769,1.242427268
0.0245,1.793230515,0.105269485,0.115
45.85205715,23.23072906,17.47251773,25.31219835
80.997,71.6883359,6.789652,33.6554308
10.3295118,0.1146904,0.5412648,0.0024284
0,0.088143148,0.017452186,0
2.433342329,0.001263953,0.123287671,0.962146042
0.45,0.08,1.145,0.47
0.094557415,0.117480937,0.307147387,0.226101964
1.791368,0.022788,0.097338,0.05405
24.17649672,0.459692933,0,1.004339878
32.39511459,2.2428,12.62920683,6.480283932
1.6934,0.9502,3.8407,0
0.072348,3.2012,10.549225,4.875860296
26.32037732,0.098244292,2.046003874,8.320907599
138.4962175,0.064488547,3.875881,0.178266653
0,0.013718674,0,0
62.91198244,0.585723529,0.497064956,0.163131005
35.20305729,0.01484375,0.0079,0.022
2.255678699,0.697743206,1.428156269,1.39699069
1.288541272,3.020039802,0.574940541,0.0041
0.0165,0.111623598,0.453,
69.46684307,0.675171297,4.80031359,2.647315578
1.852952842,0.128029166,0,0.222533905
35.99700727,2.12332226,1.72268087,1.667658529
30.76868807,0.745192715,1.493633864,0.674414968
9.383758,1.249117,1.152924,11.540128
1.971,0.299,12.845,6.331
12.346,1.02,12.657,3.439
0,0.009423834,0,0.114486339
17.56396055,1.674,6.497,0.4617102
190.21311,0.57106,0.22774,0.4645
0,0.154871783,0,0
0,0.283982555,0,0.903
3.591,0.585,0.005,1.419478261
4.712487886,0.253621,0.006159,0.28827567
0.914864856,4.935234819,6.894765181,0.530431005
2.920390756,9.349876912,2.40369047,10.1747942
35.19825724,12.52057273,50.83600814,7.378921565
6.369370161,0.205337811,0.305662189,0.11339364
61.91687566,0.373100151,16.81339144,11.85871366
34.80394017,1.957371429,0.133,1.974071402
4.4661,2.733,1.6794,2.01435
7.597013,4.719656655,0.76415852,12.31650175
0,0.003989071,0,0
59.51828075,7.890694078,19.825697,9.983786807
0,0.00696,0,0
9.900734781,1.286493457,1.1274,0.218506543
0,0.9468835,0.00075,0.005983607
5.464660531,12.92181535,57.11571962,35.58660245
288.7063404,97.11818182,277.7291061,83.67703684
6.868202,0,0,0
72.08394993,0.010008089,0,0
80.70625435,0.080231508,0.326664064,0.060833333
